
id,en,fr,nl
Section2Unit1_1,Are you cold?,Tu as froid ?,Heb je het koud?
Section2Unit1_2,I am very cold,J’ai très froid,Ik heb het heel koud
Section2Unit1_3,Are you hot?,Vous avez chaud ?,Hebt u het warm?
Section2Unit1_4,We are really hot,Nous avons vraiment chaud,We hebben het echt warm
Section2Unit1_5,He is still cold,Il a encore froid,Hij heeft het nog koud
Section2Unit1_6,She is too hot today,Elle a trop chaud aujourd’hui,Zij heeft het vandaag te warm
Section2Unit1_7,I am a little cold,J’ai un peu froid,Ik heb het een beetje koud
Section2Unit1_8,They are hot in the car,Ils ont chaud dans la voiture,Ze hebben het warm in de auto
Section2Unit1_9,Aren’t you cold this morning?,Tu n’as pas froid ce matin ?,Heb je het niet koud vanmorgen?
Section2Unit1_10,Aren’t you hot?,Vous n’avez pas chaud ?,Hebt u het niet warm?
Section2Unit1_11,I am cold but happy,J’ai froid mais je suis content,Ik heb het koud maar ik ben blij
Section2Unit1_12,It is cold here,Il fait froid ici,Het is koud hier
Section2Unit1_13,She is always hot after sports,Elle a toujours chaud après le sport,Ze heeft het altijd warm na sport
Section2Unit1_14,We aren’t cold outside,Nous n’avons pas froid dehors,We hebben het buiten niet koud
Section2Unit1_15,I am hot and want water,J’ai chaud et je veux de l’eau,Ik heb het warm en ik wil water

Section2Unit1_16,Are you sleeping enough?,Est-ce que tu dors assez ?,Slaap je genoeg?
Section2Unit1_17,Yes I sleep well,Oui je dors bien,Ja ik slaap goed
Section2Unit1_18,No I don’t sleep enough,Non je ne dors pas assez,Nee ik slaap niet genoeg
Section2Unit1_19,Are you tired?,Tu es fatigué ?,Ben je moe?
Section2Unit1_20,I am not tired,Je ne suis pas fatigué,Ik ben niet moe
Section2Unit1_21,I am sleepy,J’ai sommeil,Ik ben slaperig
Section2Unit1_22,I am not sleepy,Je n’ai pas sommeil,Ik ben niet slaperig
Section2Unit1_23,She is very tired today,Elle est très fatiguée aujourd’hui,Zij is vandaag erg moe
Section2Unit1_24,I sleep badly these days,Je dors mal en ce moment,Ik slaap slecht de laatste tijd
Section2Unit1_25,Do you sleep well?,Vous dormez bien ?,Slaapt u goed?
Section2Unit1_26,They don’t sleep enough,Ils ne dorment pas assez,Ze slapen niet genoeg
Section2Unit1_27,I go to bed late,Je me couche tard,Ik ga laat slapen
Section2Unit1_28,We sleep early tonight,Nous dormons tôt ce soir,We gaan vroeg slapen vanavond
Section2Unit1_29,You wake up too early,Tu te réveilles trop tôt,Je wordt te vroeg wakker
Section2Unit1_30,He never rests,Il ne se repose jamais,Hij rust nooit
Section2Unit1_31,She is resting now,Elle se repose maintenant,Zij rust nu
Section2Unit1_32,I am too tired to go out,Je suis trop fatigué pour sortir,Ik ben te moe om uit te gaan
Section2Unit1_33,Are you all tired?,Vous êtes fatigués ?,Zijn jullie moe?
Section2Unit1_34,I just want to sleep,Je veux juste dormir,Ik wil gewoon slapen
Section2Unit1_35,I am tired because I work late,Je suis fatigué parce que je travaille tard,Ik ben moe omdat ik laat werk

Section2Unit1_36,Are you stressed?,Tu es stressé ?,Ben je gestrest?
Section2Unit1_37,Yes I am very stressed,Oui je suis très stressé,Ja ik ben heel gestrest
Section2Unit1_38,No I am not stressed,Non je ne suis pas stressé,Nee ik ben niet gestrest
Section2Unit1_39,You are stressed because you work too much,Tu es stressé parce que tu travailles trop,Je bent gestrest omdat je te veel werkt
Section2Unit1_40,I am stressed today,Je suis stressé aujourd’hui,Ik ben vandaag gestrest
Section2Unit1_41,He is stressed because of work,Il est stressé à cause du travail,Hij is gestrest door werk
Section2Unit1_42,She is never stressed,Elle n’est jamais stressée,Zij is nooit gestrest
Section2Unit1_43,We are a little stressed,Nous sommes un peu stressés,We zijn een beetje gestrest
Section2Unit1_44,I am calm now,Je suis calme maintenant,Ik ben nu rustig
Section2Unit1_45,Are you angry?,Tu es en colère ?,Ben je boos?
Section2Unit1_46,He is very happy today,Il est très content aujourd’hui,Hij is vandaag heel blij
Section2Unit1_47,She is sad tonight,Elle est triste ce soir,Zij is vanavond verdrietig
Section2Unit1_48,I am worried,Je suis inquiet,Ik ben bezorgd
Section2Unit1_49,We are tired but happy,Nous sommes fatigués mais heureux,We zijn moe maar blij
Section2Unit1_50,I am not angry,Je ne suis pas en colère,Ik ben niet boos
Section2Unit1_51,Are you proud?,Tu es fier ?,Ben je trots?
Section2Unit1_52,I am a bit nervous,Je suis un peu nerveux,Ik ben een beetje nerveus
Section2Unit1_53,She is very calm,Elle est très calme,Zij is heel rustig
Section2Unit1_54,They are stressed today,Ils sont stressés aujourd’hui,Ze zijn vandaag gestrest
Section2Unit1_55,I am busy now,Je suis occupé maintenant,Ik ben nu bezig
Section2Unit1_56,Are you busy?,Tu es occupé ?,Ben je bezig?
Section2Unit1_57,I am not busy,Je ne suis pas occupé,Ik ben niet bezig
Section2Unit1_58,He is very motivated,Il est très motivé,Hij is erg gemotiveerd
Section2Unit1_59,She is tired but motivated,Elle est fatiguée mais motivée,Zij is moe maar gemotiveerd
