id,en,fr,nl
basics_1,Yes,Oui,Ja
basics_2,No,Non,Nee
basics_3,Please (informal),S'il te plaît,Alsjeblieft
basics_4,Please (formal),S'il vous plaît,Alstublieft
basics_5,Thank you,Merci,Dank je
basics_6,Thank you very much,Merc beaucoup,Hartelijk dank
basics_7,You’re welcome,De rien,Graag gedaan
basics_8,Hello (general),Bonjour,Hallo
basics_9,Hi (informal),Salut,Hoi
basics_10,Goodbye,Au revoir,Tot ziens
basics_11,See you soon,À bientôt,Tot snel
basics_12,Good morning,Buongiorno,Goedemorgen
basics_13,Good afternoon,Bon après-midi,Goedemiddag
basics_14,Good evening,Bonsoir,Goedenavond
basics_15,Good night,Bonne nuit,Welterusten
basics_16,Excuse me (attention),Excusez-moi,Excuseer
basics_17,Excuse me (passing),Pardon,Pardon
basics_18,Sorry,Désolé,Sorry
basics_19,Okay,D'accord,Oké
basics_20,No problem,Pas de problème,Geen probleem
pronoun_subj_1,I,Je,Ik
pronoun_subj_2,You (informal),Tu,Jij
pronoun_subj_3,He,Il,Hij
pronoun_subj_4,She,Elle,Zij
pronoun_subj_5,We,Nous,Wij
pronoun_subj_6,You (plural / formal),Vous,Jullie / U
pronoun_subj_7,They (masc),Ils,Zij
pronoun_subj_8,They (fem),Elles,Zij
pronoun_obj_1,Me,Me,Mij
pronoun_obj_2,You (informal object),Te,Jou
pronoun_obj_3,Him,Lui,Hem
pronoun_obj_4,Her,Elle,Haar
pronoun_obj_5,Us,Nous,Ons
pronoun_obj_6,You (plural object),Vous,Jullie
pronoun_obj_7,Them,Eux,Hen
pronoun_poss_1,My,Mon / Ma,Mijn
pronoun_poss_2,Your (informal),Ton / Ta,Jouw
pronoun_poss_3,His,Son,Zijn
pronoun_poss_4,Her,Sa,Haar
pronoun_poss_5,Our,Notre,Onze
pronoun_poss_6,Your (plural / formal),Votre,Jullie / Uw
pronoun_poss_7,Their,Leur,Hun
pronoun_demo_1,This (masc),Ce,Ces
pronoun_demo_2,This (fem),Cette,Deze
